amateur,country_code,player_name,country,dg_id
0,USA,"Calkins, Brady",United States,29766
1,PUR,"Calvesbert, Robi",Puerto Rico,16042
1,POR,"Camelo Ferreira, Hugo",Portugal,30333
0,SCO,"Cameron, Ross",Scotland,14093
1,NIR,"Campbell Jnr, Colm",Ireland,18903
0,AUS,"Campbell, Andrew",Australia,18959
0,NZL,"Campbell, Ben",New Zealand,14373
0,AUS,"Campbell, Ben A",Australia,27486
0,USA,"Campbell, Brian",United States,18628
0,USA,"Campbell, Chad",United States,6248
0,USA,"Campbell, Matthew",United States,23541
0,NZL,"Campbell, Michael",New Zealand,4984
0,SCO,"Campbell, Ryan",Scotland,21908
0,ENG,"Campbell, Scott",England,17814
0,ESP,"Campillo, Jorge",Spain,14016
0,PUR,"Campos, Rafael",Puerto Rico,12909
0,ESP,"Canizares, Alejandro",Spain,11509
0,USA,"Cannon, Blake",United States,26118
0,ENG,"Cannon, Chris",England,15222
0,USA,"Cannon, William",United States,22919
0,ITA,"Canonica, Emanuele",Italy,4124
0,ENG,"Canter, Laurie",England,14795
0,USA,"Cantlay, Patrick",United States,15466
0,USA,"Cantwell, Tim",United States,30730
0,CHN,"Cao, Yi",China,15067
0,USA,"Capan III, Frankie",United States,21412
0,DEN,"Cappelen, Sebastian",Denmark,14776
0,ARG,"Carballo, Miguel Angel",Argentina,8570
0,USA,"Card III, Jay",United States,29163
0,IRL,"Carey, David",Ireland,20668
0,USA,"Carll, Kevin",United States,9874
0,POR,"Carlota, Joao",Portugal,12079
0,USA,"Carlson, Mitchel",United States,26747
0,SWE,"Carlsson, Johan",Sweden,11658
0,USA,"Carlton, Hoke",United States,28527
0,MEX,"Carmona, Mario",Mexico,26119
0,USA,"Caron, Jason",United States,1798
0,NED,"Caron, Rowin",Netherlands,14983
0,USA,"Carpenter, Alex",United States,15270
1,USA,"Carr, Ben",United States,30732
0,MEX,"Carrera, Luis",Mexico,29579
0,AUS,"Carter, Jak",Australia,30447
0,RSA,"Carvell, Matthew",South Africa,14399
0,IRL,"Casey, Brian",Ireland,19970
0,ENG,"Casey, Paul",England,7108
0,ITA,"Castagnara, Giulio",Italy,16547
1,USA,"Castillo, Christian",United States,28588
0,USA,"Castillo, Michael",United States,30619
0,USA,"Castillo, Ricky",United States,27819
0,USA,"Castro, Roberto",United States,12643
0,USA,"Catlin, John",United States,18524
0,USA,"Cauley, Bud",United States,14502
1,USA,"Cavaliere, Christian",United States,31190
0,ZIM,"Cayeux, Marc",Zimbabwe,5904
0,MEX,"Cazaubon, Rodolfo",Mexico,18185
0,ITA,"Cea, Michele",Italy,18902
0,GER,"Cejka, Alex",Germany,4425
0,USA,"Celano, Ryan",United States,29665
0,COL,"Celia, Ricardo",Colombia,19000
0,ITA,"Celli, Filippo",Italy,23549
0,IND,"Chadha, Abhijit Singh",India,16032
0,AUS,"Chalmers, Greg",Australia,5625
0,USA,"Champ, Cameron",United States,23542
0,USA,"Chan, Lorens",United States,13740
0,TPE,"Chan, Shih-Chang",Chinese Taipei,9698
0,FIJ,"Chand, Dinesh",Fiji,6171
0,FIJ,"Chandra, Amitesh",Fiji,25427
0,IND,"Chandra, Yashas M S",India,19129
0,USA,"Chang, Derek",United States,19594
0,KOR,"Chang, Heemin",Korea - Republic of,23565
0,KOR,"Chang, Yikeun",Korea - Republic of,18338
1,THA,"Chantananuwat, Ratchanon TK",Thailand,27275
0,CHN,"Chao, Haimeng",China,15404
0,ENG,"Chapman, Edmund John",England,25880
0,USA,"Chappell, Kevin",United States,13305
0,KEN,"Charania, Rizwan",Kenya,10640
0,THA,"Charoenkul, Gunn",Thailand,14128
0,USA,"Chatfield, Davis",United States,30620
0,IND,"Chawrasia, S.S.P.",India,7040
0,IND,"Cheema, Angad",India,15816
0,KEN,"Chege, Samuel",Kenya,26089
0,CHN,"Chen, Changping",China,19063
0,CHN,"Chen, Dinggen",China,11758
0,CHN,"Chen, Guxin",China,24504
0,CHN,"Chen, Xiaozhong",China,19022
0,CHN,"Chen, Yilong",China,21509
0,CHN,"Chen, Zihao",China,15405
0,ENG,"Chesters, Ashley",England,18735
0,HKG,"Cheung, Alvin",Hong Kong,21748
0,HKG,"Cheung, Matthew",Hong Kong,24297
0,MAS,"Chia, Danny",Malaysia,6386
0,USA,"Chiarella, Alex",United States,25285
0,MAW,"Chidale, Paul",Malawi,23486
0,IND,"Chikkarangappa, S",India,15817
0,USA,"Chin, John",United States,14797
1,TPE,"Ching-hung, Su",Chinese Taipei,24106
0,ZIM,"Chinhoi, Robson",Zimbabwe,23143
0,NZL,"Chisnall, Ryan",New Zealand,16924
0,KOR,"Cho, Mingyu",Korea - Republic of,12096
0,KOR,"Cho, Rakhyun",Korea - Republic of,18340
0,KOR,"Cho, Sungmin",Korea - Republic of,19817
1,KOR,"Cho, Wooyoung",Korea - Republic of,25806
0,CAN,"Choi, Albin",Canada,15606
0,KOR,"Choi, Gowoong",Korea - Republic of,16140
0,KOR,"Choi, Hosung",Korea - Republic of,9041
0,KOR,"Choi, Jinho",Korea - Republic of,7024
0,KOR,"Choi, K.J.",Korea - Republic of,1804
0,KOR,"Choi, Minchel",Korea - Republic of,15019
0,MAS,"Choo, Wilson",Malaysia,14869
0,SWE,"Chopra, Daniel",Sweden,2035
0,USA,"Chopra, Varun",India,29043
0,IND,"Chopra, Vikrant",India,8282
0,IND,"Chouhan, Om Prakash",India,13794
0,GER,"Christensen, Tiger",Germany,31123
0,USA,"Christiansen, Austen",United States,30077
0,ENG,"Chrystie, Russell",England,28368
0,THA,"Chuayprakong, Thitiphun",Thailand,14129
0,USA,"Chung, Henry",United States,27206
0,USA,"Churchman, Cory",United States,25093
0,ITA,"Cianchetti, Luca",Italy,20843
0,USA,"Cink, Stewart",United States,5665
1,POR,"Clare Neves, Pedro",Portugal,29028
0,USA,"Clark, Wyndham",United States,23604
0,NIR,"Clarke, Darren",Northern Ireland,3523
0,AUS,"Clarke, Josh",Australia,24279
0,ESP,"Claverie, Luis",Spain,6527
0,USA,"Claxton, Will",United States,10486
0,USA,"Clearwater, Keith",United States,589
0,ENG,"Clements, Todd",England,22608
0,AUS,"Clementson, Benjamin",Australia,15912
0,ARG,"Cocha, Tommy",Argentina,12805
0,USA,"Cochran III, Rick",United States,16305
0,USA,"Cochran, Case",United States,18434
0,CAN,"Cockerill, Aaron",Canada,15596
0,RSA,"Coetsee, Wallie",South Africa,5936
0,RSA,"Coetzee, Byron",South Africa,26741
0,RSA,"Coetzee, Francois",South Africa,15989
0,RSA,"Coetzee, George",South Africa,10884
0,ISR,"Cohen, Asaf",Israel,21021
0,USA,"Cohen, Maxwell",United States,19554
0,USA,"Cole, Eric",United States,21756
0,USA,"Cole, Ryan",United States,24485
0,ENG,"Coles, Robert",England,5714
0,AUS,"Coletta, Brett",Australia,18177
0,USA,"Colgate, Michael",United States,28074
0,USA,"Collet, Tyler",United States,28077
0,USA,"Collins, Chad",United States,7744
0,CAN,"Collins, Cougar",Canada,25333
0,USA,"Collins, Will",United States,16145
0,AUS,"Collyer, Blake",Australia,19389
0,ESP,"Colomo, Javier",Spain,12605
0,BEL,"Colsaerts, Nicolas",Belgium,6893
0,USA,"Compton, Erik",United States,6556
0,USA,"Cone, Trevor",United States,21880
0,CAN,"Connelly, Austin",Canada,19704
0,CAN,"Conners, Corey",Canada,17576
0,RSA,"Conradie, Estiaan",South Africa,23523
0,RSA,"Conradie, Ruan",South Africa,23524
0,USA,"Constable, Donald",United States,17035
